"","0","1","2","3","4","5","6"
"1",0,1,0,0,0,0,0
"2",0,0.03,0.02,0.02,0.79,0.1,0.04
"3",0.01,0.03,0.06,0.03,0.85,0.02,0
"4",0,0.99,0,0.01,0,0,0
"5",0,0,0.92,0.05,0,0.01,0.02
"6",0.09,0.01,0.61,0.1,0.05,0,0.14
"7",0,0.95,0.01,0.02,0,0.02,0
"8",0.02,0,0.74,0.06,0.09,0.04,0.05
"9",0.01,0,0.03,0.01,0,0.02,0.93
"10",0,0,0.12,0.23,0.34,0.14,0.17
"11",0.03,0.01,0.79,0.06,0.03,0.05,0.03
"12",0.01,0.07,0.04,0.06,0.72,0.03,0.07
"13",0.01,0,0.01,0.2,0.03,0.7,0.05
"14",0.03,0.09,0.25,0.17,0.21,0.12,0.13
"15",0.97,0,0,0,0.01,0.01,0.01
"16",0.02,0.01,0.08,0.73,0.07,0.07,0.02
"17",0,0.03,0.04,0.06,0.07,0.77,0.03
"18",0.01,0,0.02,0.04,0,0.05,0.88
"19",0.03,0,0.03,0.03,0.01,0.03,0.87
"20",0.14,0,0.41,0.06,0.11,0.05,0.23
"21",0.03,0.04,0.07,0.72,0.02,0.11,0.01
"22",0,0,0.93,0.05,0.01,0,0.01
"23",0.02,0,0.02,0.89,0.03,0.04,0
"24",0.02,0.94,0,0.02,0.02,0,0
"25",0,0,0.01,0.97,0.01,0.01,0
"26",0.03,0.01,0.01,0.72,0.02,0.19,0.02
"27",0.75,0.01,0.02,0.1,0.03,0.08,0.01
"28",0,1,0,0,0,0,0
"29",0.98,0,0,0,0,0.01,0.01
"30",0.01,0.01,0,0.79,0.01,0.17,0.01
"31",0.05,0.01,0.14,0.72,0.03,0.04,0.01
"32",0.02,0.02,0.87,0.05,0.01,0.03,0
"33",0.09,0.01,0.04,0.59,0.06,0.18,0.03
"34",0.02,0,0.05,0.09,0.77,0.06,0.01
"35",0,0.97,0,0.01,0.01,0.01,0
"36",0.03,0,0,0.07,0.89,0.01,0
"37",0.02,0.01,0.75,0.07,0.05,0.03,0.07
"38",0.08,0,0.08,0.05,0.67,0.08,0.04
"39",0.07,0.03,0.22,0.23,0.06,0.08,0.31
"40",0,0.5,0,0.15,0.25,0.08,0.02
"41",0.29,0,0.02,0.34,0.04,0.29,0.02
"42",0.07,0,0.14,0,0.33,0.02,0.44
"43",0,1,0,0,0,0,0
"44",0.02,0,0.05,0.06,0.23,0.09,0.55
"45",0.04,0.21,0.51,0.1,0.03,0.06,0.05
"46",0.13,0.06,0.48,0.1,0.1,0.08,0.05
"47",0.03,0.11,0.11,0.02,0.49,0.06,0.18
"48",0,0,0.01,0.77,0.01,0.2,0.01
"49",0.91,0,0.01,0.01,0,0.07,0
"50",0.17,0.04,0.1,0.05,0.48,0.08,0.08
"51",0.01,0.04,0.21,0.1,0.03,0.32,0.29
"52",0,0.98,0,0.01,0.01,0,0
"53",0.16,0,0.21,0.02,0.2,0.04,0.37
"54",0.15,0,0.15,0.07,0.36,0.1,0.17
"55",0,0.01,0.87,0.11,0,0.01,0
"56",0.89,0,0.03,0.03,0,0.03,0.02
"57",0.98,0,0.01,0,0,0.01,0
"58",0.01,0.38,0.15,0.13,0.02,0.09,0.22
"59",0.08,0.02,0.17,0.41,0.02,0.21,0.09
"60",0,0.01,0.01,0.02,0.02,0.91,0.03
"61",0.03,0.04,0.05,0.04,0.12,0.59,0.13
"62",0.02,0,0.03,0.01,0.84,0.07,0.03
"63",0.11,0,0.09,0.03,0.58,0.04,0.15
"64",0.02,0.56,0.02,0.16,0.09,0.13,0.02
"65",0.02,0.01,0.1,0.05,0.75,0.01,0.06
"66",0,0.01,0,0.05,0.9,0.04,0
"67",0,0,0.01,0,0.95,0.03,0.01
"68",0.05,0.03,0.59,0.1,0,0.03,0.2
"69",0.1,0,0.08,0.06,0.53,0.11,0.12
"70",0.95,0,0.01,0.01,0,0.03,0
"71",0.02,0.01,0.1,0.01,0.02,0.07,0.77
"72",0.02,0.01,0.03,0.01,0.13,0.02,0.78
"73",0.1,0,0.09,0.03,0.12,0.54,0.12
"74",0.03,0.01,0.14,0.68,0.04,0.06,0.04
"75",0.85,0,0.04,0.03,0.02,0.04,0.02
"76",0,0.47,0.07,0.3,0.04,0.06,0.06
"77",0.01,0.01,0,0.88,0.01,0.07,0.02
"78",0.12,0.05,0.1,0.01,0.22,0.33,0.17
"79",0.01,0.02,0.05,0.44,0.07,0.4,0.01
"80",0.01,0.01,0.08,0.85,0.03,0.01,0.01
"81",0.02,0.02,0.92,0.02,0.01,0,0.01
"82",0,0.93,0.02,0.03,0,0.01,0.01
"83",0.91,0,0,0.03,0,0.05,0.01
"84",0,0.02,0.01,0.01,0.01,0.03,0.92
"85",0.98,0,0.01,0,0,0.01,0
"86",0.07,0.01,0.52,0.15,0.1,0.09,0.06
"87",0.87,0,0.04,0.01,0.02,0.06,0
"88",0.1,0,0.02,0.42,0.02,0.4,0.04
"89",0.84,0.02,0.05,0.02,0,0.03,0.04
"90",0.98,0,0,0.02,0,0,0
"91",0,0.05,0.01,0.55,0.35,0.03,0.01
"92",0,0.83,0.05,0.02,0.01,0.01,0.08
"93",0.92,0,0,0,0.02,0.04,0.02
"94",0.22,0.01,0.09,0.18,0.09,0.31,0.1
