"","0","1","2","3","4","5","6"
"1",0.035,0.005,0.06,0.105,0.035,0.7,0.06
"2",0,0.99,0.005,0.005,0,0,0
"3",0,1,0,0,0,0,0
"4",0.01,0.01,0.905,0.035,0.005,0.01,0.025
"5",0.09,0.005,0.055,0.06,0.09,0.08,0.62
"6",0.04,0.005,0.215,0.06,0.09,0.08,0.51
"7",0.04,0.015,0.795,0.075,0.025,0.04,0.01
"8",0.02,0,0.055,0.08,0.765,0.065,0.015
"9",0.965,0,0.015,0,0.005,0.015,0
"10",0.125,0,0.065,0.045,0.055,0.05,0.66
"11",0.05,0.01,0.035,0.09,0.315,0.395,0.105
"12",0,0,0.025,0.005,0.02,0.005,0.945
"13",0.025,0.005,0.055,0.03,0.73,0.125,0.03
"14",0,1,0,0,0,0,0
"15",0,0.14,0.075,0.705,0.035,0.045,0
"16",0.055,0.03,0.1,0.2,0.055,0.3,0.26
"17",0.015,0.015,0.79,0.08,0.015,0.025,0.06
"18",0.005,0.095,0.01,0.095,0.615,0.15,0.03
"19",0.02,0.005,0.025,0.075,0.74,0.08,0.055
"20",0.06,0.03,0.035,0.245,0.135,0.45,0.045
"21",0,0,0.005,0.01,0.925,0.015,0.045
"22",0.01,0.005,0.01,0.76,0.045,0.15,0.02
"23",0,0.015,0.045,0.03,0.025,0.035,0.85
"24",0.78,0,0.06,0.04,0.005,0.11,0.005
"25",0.27,0.035,0.255,0.165,0.095,0.075,0.105
"26",0.05,0.005,0.035,0.01,0.47,0.035,0.395
"27",0,0,0.03,0.02,0.03,0.01,0.91
"28",0.065,0,0.025,0.365,0.05,0.45,0.045
"29",0.005,0.015,0.935,0.03,0,0.01,0.005
"30",0.015,0.005,0.005,0.145,0.015,0.795,0.02
"31",0.06,0.04,0.075,0.02,0.055,0.15,0.6
"32",0.05,0,0.01,0.06,0.8,0.065,0.015
"33",0.91,0,0.015,0.02,0,0.04,0.015
"34",0.72,0,0.03,0.055,0.07,0.075,0.05
"35",0,0.495,0.135,0.25,0.015,0.105,0
"36",0,0.02,0.005,0.04,0.815,0.085,0.035
"37",0.805,0,0.025,0.02,0.03,0.065,0.055
"38",0.005,0.01,0.045,0.025,0.875,0.03,0.01
"39",0.005,0.005,0.005,0.025,0.04,0.045,0.875
"40",0.48,0.01,0.075,0.15,0.07,0.165,0.05
"41",0.005,0.005,0.03,0.005,0.88,0.045,0.03
"42",0.005,0.005,0.045,0.015,0.1,0.02,0.81
"43",0,0.03,0.825,0.05,0.02,0.015,0.06
"44",0.01,0.015,0.06,0.01,0.035,0.015,0.855
"45",0,0.64,0.04,0.265,0.01,0.035,0.01
"46",0.005,0.035,0.87,0.045,0.02,0.01,0.015
"47",0.02,0.1,0.025,0.645,0.065,0.11,0.035
"48",0.03,0,0.02,0.015,0.02,0.91,0.005
"49",0,0,0.005,0,0.025,0.005,0.965
"50",0,0,0.02,0,0.03,0,0.95
"51",0.02,0.03,0.03,0.035,0.045,0.76,0.08
"52",0,0.005,0.01,0.955,0,0.025,0.005
