"","0","1","2","3","4","5","6"
"1",0.03,0,0.07,0.18,0.02,0.65,0.05
"2",0,0.98,0,0.02,0,0,0
"3",0,1,0,0,0,0,0
"4",0.02,0.01,0.9,0.02,0.01,0,0.04
"5",0.08,0,0.06,0.04,0.05,0.14,0.63
"6",0.05,0,0.15,0.05,0.09,0.06,0.6
"7",0.06,0,0.79,0.07,0.03,0.03,0.02
"8",0,0.02,0.04,0.04,0.85,0.02,0.03
"9",1,0,0,0,0,0,0
"10",0.11,0.01,0.05,0.03,0.04,0.08,0.68
"11",0.09,0.01,0.02,0.05,0.34,0.39,0.1
"12",0,0,0.02,0.03,0.02,0,0.93
"13",0.04,0,0.04,0.05,0.78,0.05,0.04
"14",0,1,0,0,0,0,0
"15",0.01,0.12,0.08,0.61,0.11,0.06,0.01
"16",0.07,0.02,0.07,0.2,0.12,0.3,0.22
"17",0.03,0.02,0.82,0.06,0.01,0,0.06
"18",0,0.07,0.03,0.05,0.63,0.19,0.03
"19",0.03,0.01,0.02,0.07,0.77,0.03,0.07
"20",0.1,0,0.03,0.28,0.13,0.39,0.07
"21",0,0,0,0,0.94,0.02,0.04
"22",0,0.02,0,0.76,0.01,0.19,0.02
"23",0.04,0.02,0.02,0.01,0.01,0.02,0.88
"24",0.73,0.02,0.04,0.05,0.01,0.12,0.03
"25",0.29,0.01,0.27,0.12,0.1,0.04,0.17
"26",0.06,0.01,0.04,0,0.58,0.03,0.28
"27",0,0,0.03,0.02,0.01,0.03,0.91
"28",0.07,0,0.03,0.39,0.04,0.45,0.02
"29",0,0.02,0.91,0.06,0.01,0,0
"30",0.06,0.01,0.01,0.1,0.01,0.81,0
"31",0.04,0.06,0.08,0.01,0.08,0.22,0.51
"32",0.01,0.02,0.04,0.04,0.76,0.11,0.02
"33",0.89,0,0,0.02,0.03,0.05,0.01
"34",0.72,0,0.02,0.12,0.02,0.06,0.06
"35",0,0.5,0.13,0.26,0.02,0.08,0.01
"36",0.03,0.02,0.02,0.05,0.79,0.05,0.04
"37",0.77,0,0.04,0.01,0.03,0.08,0.07
"38",0,0.03,0.02,0.01,0.86,0.05,0.03
"39",0,0,0,0,0.01,0.04,0.95
"40",0.45,0.01,0.17,0.11,0.08,0.13,0.05
"41",0.01,0,0.02,0,0.92,0.03,0.02
"42",0,0.01,0.04,0.02,0.17,0.01,0.75
"43",0,0.01,0.86,0.05,0.02,0.04,0.02
"44",0,0,0.05,0,0.04,0,0.91
"45",0,0.59,0,0.32,0.01,0.06,0.02
"46",0.01,0.02,0.85,0.06,0.02,0.04,0
"47",0.02,0.16,0.01,0.59,0.07,0.11,0.04
"48",0.06,0.01,0.04,0,0.05,0.81,0.03
"49",0,0,0.01,0.02,0.01,0.01,0.95
"50",0.01,0,0.01,0,0.04,0,0.94
"51",0.03,0.04,0.02,0.01,0.07,0.73,0.1
"52",0,0,0.01,0.98,0.01,0,0
"53",0.71,0.01,0.04,0.1,0,0.11,0.03
"54",0,0.02,0.02,0.08,0.79,0.08,0.01
"55",0.89,0,0.04,0.01,0,0.05,0.01
"56",0,0.97,0,0.03,0,0,0
"57",0.84,0,0.05,0.07,0.01,0.01,0.02
"58",0.01,0.03,0.72,0.13,0.01,0.08,0.02
"59",0.87,0,0,0.03,0,0.1,0
"60",0,0,0,0.02,0,0,0.98
"61",0.07,0.01,0.19,0,0.57,0.01,0.15
"62",0.03,0,0.03,0.03,0.67,0.08,0.16
"63",0.03,0.03,0.57,0.32,0.02,0.02,0.01
"64",0.14,0.01,0.43,0.06,0.1,0.08,0.18
"65",0.04,0.01,0.08,0.02,0.12,0.03,0.7
"66",0.01,0,0.01,0.11,0.02,0.84,0.01
"67",0,0.75,0.02,0.12,0.02,0.04,0.05
"68",0.01,0,0.03,0.02,0.91,0.01,0.02
"69",0.02,0.04,0.72,0.12,0.01,0.01,0.08
"70",0,1,0,0,0,0,0
"71",0,0.05,0,0.08,0.85,0.02,0
"72",0.02,0.02,0.04,0.07,0.02,0.12,0.71
"73",0.96,0,0,0,0.01,0.01,0.02
"74",0.02,0.07,0.8,0.03,0,0.01,0.07
"75",0.98,0,0.02,0,0,0,0
"76",0.01,0.03,0.06,0.74,0,0.16,0
"77",0,1,0,0,0,0,0
"78",0.01,0.01,0.86,0.06,0.01,0.03,0.02
"79",0.01,0,0.08,0,0.07,0.02,0.82
"80",0.01,0,0,0.02,0.93,0.02,0.02
"81",0,0,0.02,0.93,0.01,0.03,0.01
"82",0.02,0.04,0.06,0.07,0.12,0.13,0.56
"83",0.92,0,0.01,0,0.02,0.05,0
"84",0.02,0.09,0.58,0.21,0.02,0.04,0.04
"85",0,0.03,0.03,0.31,0,0.59,0.04
"86",0.04,0.05,0.38,0.3,0.04,0.14,0.05
"87",0.03,0.04,0.23,0.51,0.01,0.09,0.09
"88",0.02,0,0,0.02,0.89,0.04,0.03
"89",0,0.99,0,0,0,0,0.01
"90",0.01,0.83,0.04,0.03,0.01,0.01,0.07
"91",0,1,0,0,0,0,0
"92",0,0.12,0.02,0.1,0.01,0.1,0.65
"93",0.02,0,0.07,0.03,0.08,0.03,0.77
"94",0,0.01,0.85,0.05,0.01,0.01,0.07
"95",0.05,0,0.02,0.25,0.09,0.51,0.08
"96",0.02,0.01,0.17,0.01,0.6,0.11,0.08
"97",0.02,0.02,0.05,0.12,0.08,0.69,0.02
"98",0.03,0.02,0.03,0.02,0.81,0.05,0.04
"99",0.88,0.01,0,0.07,0,0.04,0
"100",0,0.01,0.02,0.18,0.73,0.02,0.04
"101",0.61,0.01,0.04,0.08,0.03,0.13,0.1
"102",0.01,0.07,0.02,0.01,0.65,0.08,0.16
"103",0,1,0,0,0,0,0
"104",0,0.01,0.01,0.04,0.89,0.04,0.01
"105",0.08,0.04,0.18,0.49,0.05,0.11,0.05
"106",0.02,0.01,0.01,0.07,0.02,0.83,0.04
"107",0,0.02,0,0.77,0.04,0.16,0.01
"108",0.02,0,0.04,0.61,0.1,0.19,0.04
"109",0.2,0.01,0.08,0.03,0.08,0.07,0.53
"110",0.01,0.01,0.04,0.03,0.68,0.06,0.17
"111",0,0,0.1,0.79,0.01,0.08,0.02
"112",0.66,0.01,0.12,0.1,0.02,0.06,0.03
"113",0.05,0.02,0.62,0.02,0.11,0.09,0.09
"114",0.91,0,0.02,0.01,0,0.03,0.03
"115",0,0.02,0,0.95,0,0.03,0
"116",0.04,0.05,0.52,0.17,0.07,0.07,0.08
"117",0,0.01,0.71,0.11,0,0.04,0.13
"118",0.03,0.02,0.03,0.01,0.01,0.04,0.86
"119",0,0.98,0.01,0,0,0,0.01
"120",0,0,0,0.05,0.04,0.89,0.02
"121",0,0.99,0,0,0,0.01,0
"122",0.82,0,0.01,0.04,0.05,0.04,0.04
"123",0,0.99,0.01,0,0,0,0
"124",0,0.04,0.16,0.25,0.27,0.08,0.2
"125",0,1,0,0,0,0,0
"126",0.01,0,0,0,0.04,0,0.95
"127",0.17,0.05,0.12,0.47,0.02,0.14,0.03
"128",0.03,0,0.03,0.72,0.03,0.19,0
"129",0.03,0.02,0.24,0.57,0.05,0.07,0.02
"130",0.01,0.02,0.02,0,0.9,0.01,0.04
"131",0,1,0,0,0,0,0
"132",0.03,0,0.03,0.69,0.08,0.14,0.03
"133",0.02,0.05,0.01,0.47,0.01,0.38,0.06
"134",0,1,0,0,0,0,0
"135",0,0.01,0,0,0.01,0.02,0.96
"136",0.05,0,0.03,0.11,0.04,0.57,0.2
"137",0.89,0,0,0.01,0.03,0.01,0.06
"138",0.06,0.03,0.05,0.06,0.12,0.64,0.04
"139",0.65,0.01,0.12,0.09,0,0.05,0.08
"140",0.02,0.15,0.02,0.54,0.09,0.17,0.01
"141",0.07,0.06,0.15,0.07,0.31,0.12,0.22
"142",0.45,0.01,0.11,0.09,0.14,0.14,0.06
"143",0.05,0,0.03,0.04,0.72,0.12,0.04
"144",0.83,0,0.01,0.04,0.01,0.11,0
"145",0.05,0.02,0.06,0.12,0.04,0.59,0.12
"146",0,0.02,0.88,0.05,0.01,0.01,0.03
"147",0,1,0,0,0,0,0
"148",0.01,0.94,0.01,0,0.04,0,0
"149",0.1,0,0.16,0.07,0.13,0.04,0.5
"150",0.02,0.04,0.07,0.66,0.08,0.11,0.02
"151",0.01,0.03,0.94,0.02,0,0,0
"152",0.01,0.01,0.9,0.06,0,0.02,0
"153",0,0.9,0.05,0.02,0,0,0.03
"154",0.09,0,0.06,0.03,0.02,0.02,0.78
"155",0.01,0.02,0,0.81,0.08,0.08,0
"156",0,0.99,0,0.01,0,0,0
"157",0,0.02,0.03,0.07,0.78,0.08,0.02
"158",0.02,0,0.02,0.1,0.03,0.81,0.02
"159",0,0,0.08,0.04,0.01,0.04,0.83
"160",0,0.07,0.12,0.06,0.04,0.05,0.66
"161",0,0.92,0.02,0,0,0.01,0.05
"162",0.05,0,0.11,0.01,0.69,0.09,0.05
"163",0.02,0.04,0.76,0.06,0.04,0,0.08
"164",0.02,0.01,0.07,0.01,0,0.01,0.88
"165",0,0.93,0.04,0.01,0,0.01,0.01
"166",0.06,0,0.74,0.07,0.01,0.06,0.06
"167",0,0,0.86,0.09,0,0.02,0.03
"168",0.07,0,0.12,0.04,0.07,0.06,0.64
"169",0,0.99,0,0.01,0,0,0
"170",0.89,0,0.02,0.02,0.01,0.03,0.03
"171",0.06,0.03,0.03,0.3,0.02,0.56,0
"172",0,1,0,0,0,0,0
"173",0.02,0.01,0.02,0.14,0.05,0.72,0.04
"174",0,0,0.02,0.8,0,0.14,0.04
"175",0,0.01,0,0.06,0.88,0.04,0.01
"176",0,0.01,0.02,0.43,0.06,0.38,0.1
"177",0.01,0.76,0,0.07,0.06,0.1,0
"178",0.03,0.01,0.08,0.02,0.07,0.07,0.72
"179",0.03,0,0.05,0.02,0.09,0,0.81
"180",0.04,0.01,0.15,0.69,0.03,0.07,0.01
"181",0.05,0.02,0.07,0.07,0.12,0.58,0.09
"182",0,0.94,0.02,0.03,0.01,0,0
"183",0,0.96,0.03,0.01,0,0,0
"184",0.01,0.01,0.02,0.3,0.01,0.65,0
"185",0,0.01,0.01,0.04,0.86,0.05,0.03
"186",0.01,0.05,0.04,0.21,0.55,0.12,0.02
"187",0.04,0.02,0.1,0.74,0.03,0.06,0.01
"188",0.02,0,0.02,0.27,0.02,0.65,0.02
"189",0,0.97,0,0,0,0.01,0.02
"190",0,1,0,0,0,0,0
"191",0,0.96,0.03,0,0,0,0.01
"192",0.02,0.27,0.25,0.02,0.06,0.06,0.32
"193",0.01,0.94,0,0.03,0.01,0,0.01
"194",0.68,0.02,0.04,0.02,0.06,0.09,0.09
"195",0.06,0,0.02,0.08,0.02,0.1,0.72
"196",0,0.87,0,0.05,0.01,0.06,0.01
"197",0.08,0,0.05,0.11,0.08,0.61,0.07
"198",0,0.93,0.02,0,0,0.02,0.03
"199",0.04,0,0.03,0.02,0,0.04,0.87
"200",0,0.04,0.02,0.73,0.08,0.1,0.03
"201",0.06,0.15,0.34,0.17,0.05,0.17,0.06
"202",0.01,0,0,0,0.98,0.01,0
"203",0.13,0.01,0.07,0.5,0.04,0.19,0.06
"204",0.1,0.01,0.46,0.26,0.03,0.08,0.06
"205",0,0,0.01,0.05,0.02,0.05,0.87
"206",0,1,0,0,0,0,0
"207",0.01,0.07,0.15,0.02,0.01,0,0.74
"208",0.02,0.01,0.05,0,0.01,0.01,0.9
"209",0.02,0.02,0,0.89,0.03,0.03,0.01
"210",0,0.02,0.03,0.83,0.04,0.08,0
"211",0.79,0,0.02,0.09,0.02,0.06,0.02
"212",0.12,0,0.11,0.47,0.04,0.18,0.08
"213",0.01,0,0,0.08,0.08,0.77,0.06
"214",0,1,0,0,0,0,0
"215",0.01,0,0.01,0.89,0,0.09,0
"216",0.93,0,0.04,0.01,0.01,0,0.01
"217",0.06,0.03,0.08,0.26,0.08,0.46,0.03
"218",0,0,0,0.03,0.89,0.06,0.02
"219",0.07,0,0.04,0.01,0.02,0.01,0.85
"220",0,0.97,0,0,0.01,0,0.02
"221",0,1,0,0,0,0,0
"222",0.78,0,0.08,0.04,0.06,0.02,0.02
"223",0.07,0.03,0.03,0.16,0.11,0.54,0.06
"224",0,0.97,0,0.02,0.01,0,0
"225",0.87,0.01,0.09,0.01,0.01,0.01,0
"226",0,0.05,0.77,0.06,0.01,0.02,0.09
"227",0.02,0,0.92,0.04,0,0.01,0.01
"228",0,0.12,0.02,0.08,0.67,0.1,0.01
"229",0.09,0.01,0.24,0.04,0.37,0.11,0.14
"230",0.77,0,0.04,0.05,0.02,0.11,0.01
"231",0.03,0.01,0.3,0.07,0.15,0.1,0.34
"232",0.06,0.01,0.03,0.68,0.02,0.19,0.01
"233",0.05,0,0.02,0.01,0.86,0.06,0
"234",0,0.04,0.01,0.81,0.04,0.1,0
"235",0.14,0.01,0.09,0.39,0.07,0.28,0.02
"236",0.06,0.02,0.03,0.77,0.02,0.1,0
"237",0.94,0,0,0.02,0.01,0.01,0.02
"238",0.06,0,0.15,0.04,0.56,0.09,0.1
"239",0.89,0,0.04,0.01,0.01,0.01,0.04
"240",0,0.93,0.02,0.03,0,0.02,0
"241",0.01,0,0.04,0.88,0.02,0.05,0
"242",0,1,0,0,0,0,0
"243",0.21,0,0.05,0.03,0.07,0.11,0.53
"244",0.1,0.09,0.13,0.32,0.09,0.21,0.06
"245",0,1,0,0,0,0,0
"246",0,1,0,0,0,0,0
"247",0,0.99,0.01,0,0,0,0
"248",0.1,0,0.03,0.02,0.06,0.09,0.7
"249",0,0,0,0.03,0.93,0.04,0
"250",0,0,0.95,0.02,0,0.01,0.02
"251",0,1,0,0,0,0,0
"252",0.02,0.02,0.06,0.07,0.27,0.42,0.14
"253",0.04,0.01,0.14,0.12,0.07,0.58,0.04
"254",0.08,0.01,0.09,0.61,0,0.18,0.03
"255",0.01,0.01,0.03,0.89,0.01,0.05,0
"256",1,0,0,0,0,0,0
"257",0.02,0,0.76,0.12,0.03,0.04,0.03
"258",0.95,0,0.01,0.02,0,0.02,0
"259",0.96,0,0.01,0,0.02,0.01,0
"260",0,0,0.02,0.94,0.02,0.02,0
"261",0,0.15,0.67,0.05,0.05,0.03,0.05
"262",0.06,0.68,0.04,0.07,0.07,0.03,0.05
"263",0.13,0,0.07,0.05,0.53,0.17,0.05
"264",0.03,0.01,0.03,0,0.03,0,0.9
"265",0.08,0,0.11,0.47,0.02,0.28,0.04
"266",0.03,0.02,0.1,0.09,0.69,0.02,0.05
"267",0.1,0,0.08,0.71,0.01,0.08,0.02
"268",0,0.93,0.03,0.02,0,0.01,0.01
"269",0,0,0,0,0.96,0.01,0.03
"270",0,0.99,0,0.01,0,0,0
"271",0,0.05,0.22,0.51,0.08,0.12,0.02
"272",0.02,0,0.04,0.09,0.73,0.05,0.07
"273",0.04,0.01,0.08,0,0.05,0.01,0.81
"274",0.05,0.01,0.06,0.08,0.67,0.06,0.07
"275",0.01,0,0.01,0.08,0.04,0.85,0.01
"276",0.02,0.01,0.08,0.01,0.03,0.06,0.79
"277",0.1,0.01,0.07,0.57,0,0.19,0.06
"278",0.73,0,0.03,0.06,0.01,0.12,0.05
"279",0.91,0,0,0.05,0.01,0.02,0.01
"280",0.94,0,0.02,0.01,0.01,0.01,0.01
"281",0.89,0,0.03,0.01,0.01,0,0.06
"282",0.02,0,0.73,0.1,0.01,0.03,0.11
"283",0.02,0,0.95,0.02,0.01,0,0
"284",0.01,0.01,0.91,0.03,0.04,0,0
"285",0,0.01,0.94,0,0.01,0.01,0.03
"286",0.02,0,0,0.02,0.89,0.02,0.05
"287",0.07,0.02,0.01,0.54,0.04,0.19,0.13
"288",0.03,0,0.93,0,0.01,0.01,0.02
"289",0.03,0,0.01,0.02,0.04,0,0.9
"290",0,0.97,0.01,0,0,0.01,0.01
"291",0.01,0.03,0.01,0.01,0.88,0.06,0
"292",0.03,0.05,0.75,0.09,0.01,0.02,0.05
"293",0.01,0,0.9,0.04,0.01,0.01,0.03
"294",0,0.95,0,0.03,0.01,0,0.01
"295",0,0.02,0.89,0.01,0.02,0.01,0.05
"296",0,0.04,0.92,0.04,0,0,0
"297",0.01,0,0.02,0,0.17,0.04,0.76
"298",0.14,0.03,0.31,0.11,0.2,0.1,0.11
"299",0.76,0,0.04,0.08,0,0.1,0.02
"300",0,0.98,0.01,0,0,0.01,0
"301",0,0.02,0.01,0.94,0.01,0.02,0
"302",0.02,0,0.07,0.02,0.02,0.02,0.85
"303",0.01,0,0.06,0.01,0.9,0,0.02
"304",0.1,0.02,0.07,0.05,0.2,0.04,0.52
"305",0.01,0.01,0.1,0.03,0.08,0.03,0.74
"306",0,0,0.01,0.94,0.01,0.04,0
"307",0,1,0,0,0,0,0
"308",0,0.81,0.03,0.02,0.01,0.12,0.01
"309",0.02,0,0.01,0.16,0.03,0.78,0
"310",0.87,0,0.02,0.03,0.01,0.06,0.01
"311",0.58,0,0.03,0.21,0.02,0.13,0.03
"312",0.04,0.01,0.18,0.67,0.02,0.04,0.04
"313",0.04,0.01,0.11,0.02,0.22,0.03,0.57
"314",0.02,0.01,0.05,0.02,0.04,0.06,0.8
"315",0.02,0.03,0.12,0.49,0.08,0.25,0.01
"316",0,0,0.01,0,0.01,0.02,0.96
"317",0.03,0.08,0.57,0.18,0.04,0.01,0.09
"318",0.05,0.08,0.04,0.04,0.1,0.61,0.08
"319",0,0.2,0.09,0.48,0.08,0.08,0.07
"320",0.07,0,0.01,0.69,0.07,0.13,0.03
"321",0.2,0,0.04,0.01,0.46,0.11,0.18
"322",0,0,0.01,0.03,0.02,0.01,0.93
"323",0.07,0.02,0.04,0.05,0.66,0.04,0.12
"324",0,0,0,0.03,0.94,0.02,0.01
"325",0,0.08,0.83,0.05,0.03,0.01,0
"326",0.04,0.01,0.03,0.01,0.77,0.02,0.12
"327",0,1,0,0,0,0,0
"328",0,1,0,0,0,0,0
"329",0,0.97,0,0,0.01,0.01,0.01
"330",0.03,0.02,0.03,0.71,0,0.18,0.03
"331",0,0.01,0,0.05,0.89,0.05,0
"332",0.79,0,0.01,0.05,0.02,0.06,0.07
"333",0,0,0.03,0.01,0.1,0.03,0.83
"334",0.02,0,0.01,0,0.01,0,0.96
"335",0,0.03,0.91,0.04,0,0.01,0.01
"336",0.05,0,0.03,0.07,0.69,0.11,0.05
"337",0.03,0.01,0.05,0.09,0.73,0.06,0.03
"338",0,0.95,0.01,0,0,0.03,0.01
"339",0.81,0,0.07,0.03,0.02,0.01,0.06
"340",0.04,0,0.01,0.03,0.82,0.03,0.07
"341",0.04,0,0.07,0.04,0.03,0.07,0.75
"342",0.71,0.01,0.04,0.08,0.02,0.13,0.01
"343",0.01,0.72,0.15,0.05,0.02,0.04,0.01
"344",0.1,0,0.18,0.42,0.03,0.12,0.15
"345",0.92,0,0,0.01,0,0.04,0.03
"346",0.43,0,0.03,0.2,0.04,0.28,0.02
"347",0.03,0.03,0.03,0.24,0,0.67,0
"348",0.86,0,0.06,0.02,0.01,0.05,0
"349",0,0,0.04,0.7,0.14,0.11,0.01
"350",0,0.98,0,0.01,0,0.01,0
"351",0,0,0.02,0.03,0.89,0.03,0.03
"352",0,1,0,0,0,0,0
"353",0.02,0.02,0.05,0.19,0.14,0.55,0.03
"354",0,0.01,0.04,0,0.13,0.02,0.8
"355",0.02,0.67,0.12,0.03,0.02,0.13,0.01
